127.0.0.1 - - [22/Dec/2018:15:04:32 +0900] "GET / HTTP/1.1" 200 6823
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET / HTTP/1.1" 200 6823
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET /resources/img/bus/Bus-logo.svg.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET /resources/img/logo/Logo.png HTTP/1.1" 200 11259
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET /resources/img/weather/Weather.png HTTP/1.1" 200 12751
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET /resources/js/home.js HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:33 +0900] "GET /resources/css/home.css HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:46 +0900] "GET /locationBusStop?tmx=126.82492589999998&tmy=37.523328 HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:46 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:46 +0900] "GET /resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:46 +0900] "GET /resources/img/logo/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:04:47 +0900] "GET /locationBusStopAajx?tmx=126.82492589999998&tmy=37.523328 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:04 +0900] "GET /relationKeyword?keyword=%E3%85%87 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:05 +0900] "GET /relationKeyword?keyword=%EC%9A%B0 HTTP/1.1" 200 220988
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:06 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:06 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%98 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:06 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%A4 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%A4 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%B9 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%B9%E3%84%B1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%B9%EA%B7%B8 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%B9%E3%84%B1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD%EC%8A%B9 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [22/Dec/2018:15:05:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%88%AD HTTP/1.1" 200 724
